,year,tmID,coach_rating,team_rating,playoff,confID,top10_mean
114,8,19,45.63286979857981,1.98,0,0,16.754104001226544
115,9,0,45.63286979857981,0.0,0,0,9.382609969306673
116,9,2,45.63286979857981,0.99,0,0,10.380707349619607
117,9,4,93.48062904678017,99.0,1,0,9.990076954485643
118,9,5,92.86771840765843,99.0,1,0,18.570682937869247
119,9,6,44.294619036968136,0.0,0,1,15.44556679856143
120,9,7,47.030191243671126,99.0,1,0,18.488776928134875
121,9,8,79.01213919474165,99.0,1,1,17.219345828209743
122,9,10,45.63286979857981,0.0,0,1,11.665694060335579
123,9,11,77.69783516343686,99.0,1,0,10.992589955256697
124,9,13,45.63286979857981,0.0,0,1,15.720184216989784
125,9,15,45.63286979857981,99.0,1,1,12.045867245445681
126,9,16,95.28407967602152,99.0,1,1,13.348471410768179
127,9,17,58.68804629113351,99.0,1,1,16.933819303927443
128,9,19,45.63286979857981,1.98,0,0,13.823257826283193
129,10,0,45.63286979857981,99.0,1,0,15.879069400831096
130,10,2,45.63286979857981,0.0,0,0,12.513843585415596
131,10,4,19.79554633481132,0.99,0,0,12.81646763891167
132,10,5,45.63286979857981,99.0,1,0,18.962110750880296
133,10,7,4.322086764741801,99.0,1,0,16.59969884860062
134,10,8,97.78346160735168,99.0,1,1,16.42926465955211
135,10,10,45.63286979857981,0.0,0,1,8.974188750247574
136,10,11,4.322086764741801,0.0,0,0,11.87139554292288
137,10,13,45.63286979857981,99.0,1,1,17.73006572235844
138,10,15,7.512082418666173,0.0,0,1,14.412956682231322
139,10,16,89.17642292138343,99.0,1,1,16.14499335285824
140,10,17,75.14600728781848,99.0,1,1,16.794765279544954
141,10,19,45.63286979857981,99.0,1,0,13.700208890164774
